fecha	localidad	personas	BAC	positividad	cobertura	oportunidad
2021-01-08	Arica y Parinacota	6773	81.3	5.3	93.6	98.1
2021-01-08	Tarapacá	8514	76.1	14.9	77.7	96.6
2021-01-08	Antofagasta	17667	83.1	8.0	86.2	98.5
2021-01-08	Atacama	4260	76.3	5.5	65.8	94.5
2021-01-08	Coquimbo	8734	68.8	5.4	88.1	97.2
2021-01-08	Valparaíso	18817	58.4	9.2	85.4	93.3
2021-01-08	Metropolitana	38097	55.1	6.7	83.1	94.1
2021-01-08	O’Higgins	12906	71.0	7.1	87.1	97.8
2021-01-08	Maule	18552	64.6	11.2	89.3	98.1
2021-01-08	Ñuble	8063	65.2	7.8	93.4	97.8
2021-01-08	Biobío	25978	40.6	12.8	91.1	96.3
2021-01-08	Araucanía	12394	48.7	14.5	82.3	96.3
2021-01-08	Los Ríos	8626	48.7	15.3	92.9	98.5
2021-01-08	Los Lagos	26232	77.8	12.3	89.1	95.9
2021-01-08	Aysén	3226	71.0	6.4	89.7	94.1
2021-01-08	Magallanes	4886	65.4	15.4	83.1	92.2
2021-01-08	Total País	223725	61.8	9.5	85.9	96.0
2020-12-25	Arica y Parinacota	4663	80.4	2.9	94.9	97.1
2020-12-25	Tarapacá	5162	74.2	10.7	85.1	98.0
2020-12-25	Antofagasta	10210	82.6	4.0	96.4	97.6
2020-12-25	Atacama	3627	81.0	2.8	84.7	91.0
2020-12-25	Coquimbo	6723	71.4	3.9	95.0	97.7
2020-12-25	Valparaíso	13941	63.9	5.5	93.5	95.1
2020-12-25	Metropolitana	61170	54.3	5.2	90.6	94.3
2020-12-25	O’Higgins	8245	65.7	5.3	95.6	97.0
2020-12-25	Maule	13494	66.0	9.9	98.2	98.8
2020-12-25	Ñuble	5909	65.6	9.9	94.0	97.9
2020-12-25	Biobío	21325	42.1	11.2	96.7	97.0
2020-12-25	Araucanía	10074	55.4	12.4	95.8	95.8
2020-12-25	Los Ríos	5410	47.9	11.6	98.0	98.9
2020-12-25	Los Lagos	16822	78.0	7.9	96.9	96.0
2020-12-25	Aysén	2068	67.8	6.3	97.9	93.9
2020-12-25	Magallanes	3956	69.4	12.6	98.4	94.8
2020-12-25	Total País	192799	61.5	7.3	93.8	96.3
2021-01-01	Arica y Parinacota	5172	78.6	4.4	95.6	96.5
2021-01-01	Tarapacá	6232	73.3	13.9	85.7	98.2
2021-01-01	Antofagasta	11911	80.0	6.7	95.7	99.0
2021-01-01	Atacama	3056	72.1	4.5	83.4	93.5
2021-01-01	Coquimbo	7003	69.7	4.8	94.0	97.6
2021-01-01	Valparaíso	14895	58.5	8.0	94.1	95.7
2021-01-01	Metropolitana	60957	51.8	7.5	90.0	93.7
2021-01-01	O’Higgins	8929	63.8	6.9	94.9	96.9
2021-01-01	Maule	15243	60.8	12.0	98.4	98.4
2021-01-01	Ñuble	6099	62.7	8.6	98.0	98.1
2021-01-01	Biobío	21473	39.7	13.2	94.2	97.4
2021-01-01	Araucanía	10517	50.1	14.5	95.4	96.8
2021-01-01	Los Ríos	5938	47.5	13.4	97.6	98.6
2021-01-01	Los Lagos	19304	77.9	10.3	95.6	95.4
2021-01-01	Aysén	2458	73.8	5.1	97.6	97.6
2021-01-01	Magallanes	3959	63.9	16.1	98.0	94.8
